SEQID	MAX	BHLHE40	ATF3	CEBPB	MAFK	FOSL2	NFE2L2	JUND
5:90873261-90873361	2.997e-11	6.507e-13	5.347e-10	2.619e-06	3.117e-13	2.711e-15	1.607e-12	1.814e-22
19:46289251-46289351	4.924e-09	1.685e-09	7.524e-10	1.574e-05	1.06e-14	2.043e-09	5.899e-12	1.838e-10
2:21104418-21104518	5.616e-11	1.656e-12	1.046e-09	8.814e-11	2.601e-09	2.257e-07	7.504e-11	1.625e-08
20:36951758-36951858	2.642e-10	1.537e-09	1.423e-10	1.302e-08	4.255e-15	1.124e-12	3.941e-10	4.206e-17
1:112544187-112544287	5.371e-12	9.855e-12	7.871e-06	1.917e-07	2.554e-05	0.0001106	5.61e-10	3.854e-05
7:130947902-130948002	2.406e-12	1.178e-12	1.075e-10	6.57e-09	4.666e-13	9.847e-11	5.074e-13	3.595e-13
1:225897203-225897303	4.313e-09	2.539e-09	6.389e-06	5.584e-08	2.868e-08	2.291e-11	1.627e-10	1.169e-15
13:32031727-32031827	1.627e-09	3.5e-10	6.914e-09	4.071e-15	2.213e-09	6.395e-12	2.22e-12	3.022e-17
2:96788509-96788609	3.252e-10	1.402e-12	5.242e-10	3.349e-13	2.665e-05	7.895e-12	1.005e-10	1.769e-15
22:38147419-38147519	1.292e-05	3.717e-06	1.024e-08	9.949e-06	7.573e-12	6.597e-09	2.771e-11	8.632e-14
5:143513876-143513976	2.132e-10	7.843e-11	4.667e-11	1.183e-05	5.699e-13	8.848e-10	1.733e-11	4.767e-14
18:6121143-6121243	5.522e-08	5.859e-10	1.71e-10	1.285e-09	2.757e-06	1.106e-13	2.12e-10	2.536e-17
15:50697559-50697659	3.953e-10	2.794e-10	7.544e-11	4.375e-08	1.547e-10	3.834e-11	1.297e-10	3.017e-12
1:234605127-234605227	8.23e-09	1.777e-11	1.939e-09	6.499e-07	2.429e-07	2.411e-13	8.885e-12	2.368e-15
2:68849781-68849881	4.879e-09	1.481e-11	7.07e-07	8.502e-13	8.38e-08	0.0003191	3.957e-06	0.0002532
1:56974103-56974203	2.658e-11	1.104e-13	1.227e-08	4.059e-05	2.67e-12	1.891e-12	1.762e-11	2.295e-13
18:56565780-56565880	8.269e-06	1.527e-08	1.768e-06	0.0006633	2.868e-08	6.198e-13	1.512e-11	3.13e-13
14:61525573-61525673	1.365e-08	8.792e-09	2.968e-07	8.544e-06	2.427e-07	7.524e-06	6.015e-08	0.0001391
1:180862435-180862535	1.307e-09	4.921e-10	3.047e-08	1.347e-05	7.763e-12	1.133e-11	1.301e-09	9.212e-17
12:111445094-111445194	1.505e-11	1.665e-12	2.849e-10	1.914e-13	1.916e-06	9.262e-11	5.61e-09	1.278e-11
3:144055715-144055815	1.682e-10	3.717e-12	1.013e-09	1.641e-10	2.823e-07	2.098e-15	2.688e-13	2.341e-19
2:207815443-207815543	1.572e-07	5.789e-09	1.378e-09	0.0002684	5.477e-14	1.048e-07	1.406e-08	6.365e-12
8:134795029-134795129	1.572e-07	5.789e-09	1.81e-16	0.0002684	5.477e-14	1.048e-07	1.406e-08	6.365e-12
1:205631182-205631282	5.391e-06	1.57e-08	7.75e-06	5.65e-10	8.145e-18	3.224e-10	3.823e-09	2.594e-12
6:25962729-25962829	2.007e-10	1.402e-12	3.583e-11	2.024e-11	7.105e-09	1.822e-08	3.155e-09	3.651e-13
5:34915569-34915669	2.186e-06	5.26e-06	1.404e-08	7.755e-14	8.561e-11	4.656e-15	2.667e-10	4.437e-22
10:30186710-30186810	1.034e-08	3.855e-10	3.816e-08	5.265e-12	1.328e-09	2.13e-07	7.082e-08	5.086e-10
10:102854434-102854534	4.072e-09	4.047e-10	9.476e-10	1.026e-09	4.099e-14	5.977e-14	1.082e-13	1.14e-16
19:11235710-11235810	9.722e-10	7.649e-10	6.88e-10	3.123e-08	2.148e-15	2.402e-10	1.318e-12	7.845e-16
11:16115063-16115163	5.145e-11	2.237e-10	8.692e-10	2.931e-10	5.228e-14	5.333e-15	1.124e-12	9.909e-19
19:23395564-23395664	3.792e-09	7.228e-12	3.926e-08	1.576e-09	4.209e-09	3.313e-09	2.106e-10	8.629e-11
16:81580748-81580848	3.792e-09	7.228e-12	3.926e-08	1.576e-09	4.209e-09	3.313e-09	2.106e-10	8.629e-11
2:164661542-164661642	3.338e-06	1.888e-08	2.806e-07	3.604e-05	1.667e-08	1.201e-06	1.113e-07	3.582e-10
12:93127869-93127969	2.21e-08	1.185e-10	4.113e-09	0.003017	6.233e-14	1.598e-12	6.903e-10	2.22e-18
1:19066477-19066577	1.107e-12	1.979e-16	2.279e-15	2.66e-11	6.233e-14	1.227e-17	6.903e-10	3.014e-25
4:88803681-88803781	7.319e-06	7.262e-10	6.829e-07	0.0003685	4.117e-08	3.114e-10	2.011e-07	3.471e-14
1:89896605-89896705	5.251e-13	9.605e-12	6.566e-10	1.865e-12	7.661e-09	3.329e-15	4.649e-12	1.286e-18
1:36397869-36397969	3.796e-09	7.735e-11	1.847e-05	2.029e-09	7.577e-14	2.177e-06	5.101e-11	2.737e-11
1:27830689-27830789	4.509e-09	3.381e-09	2.83e-08	3.294e-10	1.838e-10	2.89e-12	2.449e-11	1.372e-17
3:58217539-58217639	0.002882	3.013e-07	1.268e-06	3.85e-10	3.341e-10	1.377e-13	2.24e-11	3.139e-17
11:96325070-96325170	6.329e-11	3.163e-12	1.089e-06	3.119e-08	2.877e-11	3.096e-08	6.288e-10	9.607e-10
1:158186317-158186417	5.934e-12	1.187e-13	2.301e-09	6.66e-08	3.39e-06	0.003252	3.401e-08	0.002017
9:94868020-94868120	5.32e-11	7.054e-11	7.733e-06	2.006e-12	5.769e-05	0.0001065	2.699e-08	9.905e-07
7:41693546-41693646	1.572e-09	9.433e-10	3.932e-10	8.181e-07	3.143e-09	4.313e-10	1.02e-09	1.4e-11
9:81145744-81145844	5.301e-11	5.186e-11	1.425e-08	9.58e-11	2.393e-05	2.698e-12	5.662e-13	8.691e-19
6:39981236-39981336	9.32e-09	6.962e-11	2.064e-09	4.453e-06	2.978e-05	0.0007478	0.0001465	0.002584
6:13575244-13575344	5.378e-10	4.084e-09	3.72e-09	1.535e-11	2.796e-06	6.901e-08	6.495e-12	6.141e-12
4:141334009-141334109	1.513e-10	4.324e-11	3.804e-10	6.1e-08	1.719e-10	9.624e-14	6.271e-14	3.016e-17
14:62304298-62304398	1.953e-06	6.902e-08	5.544e-08	7.348e-10	8.61e-09	2.569e-08	4.718e-09	2.81e-09
2:112547499-112547599	6.605e-08	5.783e-09	7.323e-06	9.873e-05	9.486e-12	2.595e-09	3.323e-07	5.453e-10
19:34677294-34677394	2.57e-11	6.396e-12	1.43e-07	2.812e-11	3.001e-14	1.783e-13	6.266e-09	6.13e-17
X:43881802-43881902	3.048e-08	7.713e-13	3.53e-09	2.074e-08	2.972e-10	5.888e-13	2.147e-13	2.599e-17
17:59425494-59425594	6.289e-10	2.171e-10	1.252e-09	2.152e-10	4.762e-08	9.244e-10	3.342e-12	8.346e-11
11:19398869-19398969	9.64e-09	8.234e-12	2.593e-10	8.544e-06	2.786e-10	1.516e-11	4.159e-11	1.025e-17
17:34110391-34110491	1.46e-11	1.029e-11	3.473e-12	1.508e-11	5.54e-10	5.514e-08	1.846e-09	1.622e-11
6:136472086-136472186	5.258e-06	8.065e-09	7.107e-11	5.055e-06	1.104e-12	5.318e-12	1.1e-11	1.499e-17
4:89753827-89753927	4.221e-12	2.39e-13	2.064e-05	5.412e-12	3.353e-06	0.005902	1.536e-08	0.005813
6:43013958-43014058	1.968e-10	6.075e-12	2.359e-06	7.276e-13	1.409e-10	6.799e-11	9.013e-11	1.086e-13
14:99915435-99915535	0.0008966	1.401e-06	2.883e-07	1.404e-06	3.828e-07	1.701e-15	5.582e-10	1.51e-20
3:35784252-35784352	0.0008966	1.082e-17	5.858e-09	1.404e-06	3.828e-07	1.701e-15	5.582e-10	1.51e-20
6:3376984-3377084	2.462e-07	6.216e-07	2.953e-05	2.962e-11	9.731e-10	0.009885	4.973e-07	0.008474
2:85354656-85354756	1.361e-07	1.907e-07	1.251e-09	2.769e-10	3.501e-08	5.933e-10	7.724e-11	8.732e-12
12:96254414-96254514	2.141e-08	1.422e-08	1.109e-06	2.214e-11	5.135e-11	5.473e-13	1.009e-11	1.329e-21
6:20866191-20866291	6.568e-09	2.857e-09	2.381e-11	3.722e-08	1.967e-13	2.159e-12	5.906e-11	2.2e-18
4:71906246-71906346	3.716e-10	1.658e-09	6.07e-07	9.342e-12	8.366e-11	5.926e-09	4.93e-08	2.903e-10
9:129567942-129568042	1.774e-11	3.234e-13	7.75e-11	1.455e-15	2.932e-18	1.641e-18	4.457e-16	2.295e-23
10:112302415-112302515	8.079e-11	3.519e-12	2.24e-10	2.827e-10	1.795e-13	3.547e-16	3.618e-12	1.601e-21
14:49903083-49903183	7.497e-16	4.388e-15	7.013e-11	1.071e-07	8.821e-12	1.069e-16	4.838e-14	7.778e-20
10:70086170-70086270	1.711e-09	3.178e-13	2.677e-08	7.166e-09	3.385e-13	1.449e-11	1.588e-12	5.166e-17
7:120829612-120829712	5.199e-05	1.089e-06	1.53e-09	4.076e-09	6.695e-07	5.907e-13	1.954e-13	3.758e-17
7:140976144-140976244	3.247e-10	1.392e-12	2.183e-10	8.281e-12	2.234e-17	2.981e-11	6.212e-13	1.073e-15
12:21437613-21437713	7.734e-09	3.413e-10	1.435e-09	6.444e-11	1.908e-12	3.601e-11	2.191e-10	1.936e-16
14:71175630-71175730	5.087e-11	2.125e-11	2.588e-09	1.091e-09	3.193e-06	0.003288	9.47e-06	0.002451
5:179839558-179839658	3.89e-17	8.217e-17	2.986e-10	6.047e-14	9.113e-16	1.446e-13	9.866e-17	1.612e-16
13:95354713-95354813	1.155e-08	2.24e-11	7.895e-12	2.838e-08	2.437e-11	3.56e-13	1.663e-09	1.324e-13
15:64310188-64310288	1.296e-10	1.869e-11	2.04e-09	4.07e-08	0.0002591	1.984e-12	1.026e-08	7.424e-18
13:74227934-74228034	2.065e-08	8.832e-10	1.031e-09	2.769e-09	1.827e-09	1.989e-09	3.362e-09	1.293e-08
1:151368775-151368875	4.936e-10	6.037e-09	4.081e-08	3.857e-12	6.685e-07	6.466e-08	1.064e-08	3.623e-10
1:192629862-192629962	8.994e-09	2.302e-10	8.718e-10	4.782e-05	1.018e-09	1.804e-08	1.655e-10	1.478e-12
11:110763838-110763938	6.591e-07	3.097e-10	9.618e-10	8.776e-14	1.455e-09	5.247e-10	3.96e-12	5.102e-17
1:45884925-45885025	1.751e-09	2.969e-11	3.419e-10	2.975e-11	4.533e-07	4.44e-14	5.52e-12	8.88e-21
1:175023438-175023538	1.4e-06	4.801e-09	2.636e-10	2.965e-13	5.064e-13	5.423e-15	3.601e-11	5.449e-19
5:74595230-74595330	2.573e-09	4.223e-11	2.17e-11	1.484e-10	2.367e-06	2.676e-12	1.364e-11	2.537e-14
3:168859364-168859464	2.254e-12	8.258e-12	4.034e-07	5.457e-08	2.342e-12	1.416e-12	1.326e-12	1.01e-17
11:34274813-34274913	7.266e-07	3.523e-07	2.013e-10	1.974e-11	3.566e-10	2.525e-14	9.45e-12	3.687e-18
15:60913438-60913538	0.001306	0.0001779	4.334e-08	1.333e-10	3.458e-12	1.822e-14	1.218e-12	3.919e-17
17:48841559-48841659	2.038e-11	6.854e-12	4.492e-07	3.426e-12	3.721e-07	2.685e-13	4.095e-11	3.623e-14
1:47478195-47478295	2.409e-09	2.654e-09	4.529e-10	4.728e-14	1.878e-11	2.824e-14	7.816e-12	1.338e-17
11:86069885-86069985	8.612e-11	2.47e-12	1.81e-07	3.175e-09	4.037e-08	6.45e-11	4.547e-11	1.633e-12
1:234927020-234927120	1.765e-07	1.739e-08	1.583e-09	6.232e-07	3.393e-11	8.669e-10	2.238e-09	1.664e-10
X:10965503-10965603	4.332e-10	1.114e-12	1.107e-09	4.933e-13	1.113e-12	8.173e-15	1.433e-11	7.339e-18
1:62585608-62585708	3.06e-10	7.96e-10	1.476e-07	1.113e-08	9.666e-12	1.348e-14	4.132e-11	5.223e-18
6:134250227-134250327	2.054e-08	5.814e-12	6.184e-11	1.89e-09	6.528e-13	8.857e-14	1.409e-11	3.018e-19
2:48855367-48855467	1.038e-08	1.505e-10	1.305e-09	2.778e-09	7.3e-09	0.0001166	1.725e-09	7.6e-06
2:18518297-18518397	8.788e-11	1.753e-12	2.795e-06	2.087e-10	8.978e-10	0.002251	3.514e-08	0.004972
19:45288914-45289014	0.001824	7.957e-07	4.103e-10	2.843e-14	6.05e-13	2.217e-15	4.911e-12	2.065e-20
10:21510843-21510943	1.086e-12	8.032e-14	1.019e-09	9.946e-07	1.036e-09	5.256e-17	8.652e-14	1.309e-23
2:178193625-178193725	1.086e-12	8.032e-14	1.019e-09	9.946e-07	1.036e-09	5.256e-17	8.652e-14	1.309e-23
1:23562478-23562578	2.065e-09	1.774e-09	1.819e-07	1.48e-13	1.627e-15	3.962e-13	7.192e-13	2.067e-16
11:27375514-27375614	1.022e-12	1.476e-14	8.88e-13	6.157e-12	1.393e-18	8.46e-17	1.046e-17	7.72e-25
17:17416621-17416721	2.331e-07	3e-08	7.973e-07	9.923e-10	6.49e-11	3.098e-11	1.273e-09	4.353e-17
2:2076014-2076114	8.814e-12	2.022e-12	6.005e-10	4.437e-10	1.947e-11	8.487e-11	9.22e-12	4.595e-14
9:13140924-13141024	2.111e-08	3.806e-09	3.86e-09	4.241e-12	2.828e-11	2.142e-15	1.709e-11	1.057e-19
7:47941718-47941818	3.805e-08	9.248e-07	8.529e-06	6.494e-12	2.432e-05	0.003077	4.575e-09	0.003344
2:85761789-85761889	4.002e-10	3.12e-09	2.003e-12	3.857e-09	3.053e-07	7.1e-14	2.776e-08	1.407e-19
1:54407708-54407808	4.07e-12	2.921e-12	2.838e-08	3.983e-09	4.028e-14	3.985e-15	6.15e-14	5.471e-19
14:67360059-67360159	7.289e-08	3.539e-11	3.085e-08	1.106e-09	4.118e-08	9.248e-10	1.371e-08	2.631e-11
19:3467956-3468056	1.977e-10	1.401e-10	1.631e-06	7.842e-05	5.892e-12	5.649e-12	4.747e-08	3.099e-16
5:39411215-39411315	7.287e-12	2.311e-10	1.09e-06	1.247e-09	4.263e-11	0.002663	8.745e-10	0.003508
22:32512711-32512811	3.709e-11	7.59e-13	9.633e-06	6.174e-07	6.452e-12	1.093e-10	8.226e-08	1.025e-12
4:123599724-123599824	1.096e-08	4.876e-09	1.783e-08	8.455e-06	3.436e-08	1.224e-12	2.733e-12	6.387e-17
12:111787473-111787573	2.052e-09	3.64e-11	9.591e-06	1.433e-11	5.704e-13	5.203e-13	8.523e-12	2.099e-17
1:37537430-37537530	2.267e-09	6.32e-11	8.905e-09	1.716e-07	4.422e-10	7.888e-14	6.232e-12	2.01e-17
14:94522365-94522465	2.2e-08	3.669e-10	1.538e-11	1.467e-11	6.968e-13	1.603e-11	1.525e-11	1.25e-16
18:10010784-10010884	1.358e-06	5.07e-08	2.492e-08	6.585e-07	2.108e-11	3.299e-15	3.015e-12	1.002e-17
12:24079201-24079301	1.226e-11	3.32e-13	1.44e-10	1.068e-13	5.48e-11	3.012e-15	4.732e-13	3.566e-21
10:28120264-28120364	1.211e-11	6.724e-13	2.903e-08	1.103e-05	2.665e-11	6.467e-08	7.103e-10	5.632e-16
7:98387951-98388051	1.355e-10	1.668e-10	8.906e-08	1.574e-09	2.041e-07	1.378e-10	3.104e-10	1.428e-12
18:32350119-32350219	2.09e-11	3.772e-13	1.078e-06	2.668e-08	4.972e-13	0.005133	4.881e-10	0.003538
10:34790052-34790152	2.774e-08	1.987e-09	1.084e-06	5.217e-07	2.11e-05	3.833e-08	2.635e-09	4.208e-13
2:42092427-42092527	2.774e-08	1.987e-09	1.322e-17	5.217e-07	2.11e-05	3.833e-08	2.635e-09	4.208e-13
10:67850136-67850236	6.63e-11	6.125e-12	4.455e-09	4.323e-07	1.925e-09	3.074e-05	2.593e-07	1.486e-08
11:57799273-57799373	3.158e-09	2.741e-13	1.285e-08	2.436e-10	6.427e-12	9.898e-11	8.375e-09	1.137e-13
1:234925995-234926095	2.718e-11	5.832e-10	1.737e-09	8.623e-12	0.0001812	4.177e-07	4.372e-07	2.184e-06
2:108993662-108993762	7.506e-11	1.774e-11	5.22e-10	4.821e-08	1.882e-09	6.746e-11	2.675e-10	1.239e-17
1:94942496-94942596	1.671e-09	8.092e-11	1.536e-05	4.545e-08	2.299e-08	1.984e-12	8.828e-12	1.56e-13
6:47309938-47310038	3.654e-10	2.108e-10	1.961e-05	3.166e-09	3.807e-14	1.97e-15	2.395e-11	3.761e-21
12:46445672-46445772	7.412e-09	7.86e-12	1.282e-10	5.896e-10	1.003e-10	8.497e-05	1.199e-10	8.673e-05
6:20129835-20129935	7.412e-09	7.86e-12	1.282e-10	5.896e-10	1.003e-10	8.497e-05	1.199e-10	8.673e-05
11:61756901-61757001	1.158e-11	1.352e-12	3.968e-09	3.08e-11	2.485e-09	1.003e-09	5.929e-08	8.487e-14
19:11529189-11529289	3.326e-08	8.071e-09	6.635e-09	1.839e-08	2.016e-11	9.934e-09	6.553e-11	5.679e-16
2:223942123-223942223	1.164e-07	9.993e-10	2.385e-10	3.545e-06	3.724e-08	2.216e-05	1.92e-09	4.829e-06
2:237683458-237683558	3.259e-06	4.908e-10	9.933e-09	9.217e-11	4.632e-11	5.289e-12	5.097e-14	6.078e-16
1:205726932-205727032	7.143e-10	6.917e-13	2.914e-08	2.018e-10	1.688e-15	1.081e-18	2.885e-14	7.235e-23
2:190313993-190314093	3.235e-10	1.583e-12	6.404e-06	2.108e-05	3.985e-11	1.651e-13	1.441e-06	8.98e-17
10:23506190-23506290	2.887e-05	1.432e-06	5.702e-10	1.791e-05	8.313e-13	9.899e-11	6.225e-14	1.134e-13
20:14925441-14925541	8.831e-09	1.385e-10	3.206e-05	9.903e-08	0.0008716	0.006018	2.941e-06	0.00571
3:191314443-191314543	3.366e-05	1.931e-07	5.711e-09	9.966e-12	1.451e-12	1.166e-05	6.227e-11	1.011e-12
2:128090970-128091070	5.494e-11	1.864e-11	3.092e-10	4.711e-08	5.801e-09	7.528e-14	1.379e-12	2.002e-17
11:81963178-81963278	5.387e-09	5.041e-12	0.0003324	1.519e-07	4.269e-11	2.817e-12	8.802e-12	6.143e-17
21:45974833-45974933	3.496e-06	5.963e-08	1.972e-06	5.992e-10	6.193e-08	0.004464	1.299e-05	0.003947
4:71230352-71230452	1.416e-05	5.079e-07	3.034e-06	4.576e-11	6.095e-13	7.466e-07	3.779e-12	1.893e-10
1:178551471-178551571	1.297e-08	3.622e-09	3.257e-09	2.207e-08	9.661e-16	4.756e-12	1.054e-11	2.409e-17
4:169200446-169200546	1.297e-08	3.622e-09	3.257e-09	2.207e-08	9.661e-16	4.756e-12	1.054e-11	2.409e-17
13:98565777-98565877	5.53e-09	7.89e-12	1.306e-05	3.453e-13	4.554e-14	1.889e-13	5.615e-11	1.749e-17
10:116838500-116838600	4.643e-09	1.163e-10	2.317e-11	9.708e-09	6.278e-14	5.119e-15	8.925e-15	5.358e-22
6:52077538-52077638	5.481e-11	1.108e-12	1.799e-08	5.243e-08	6.935e-08	7.204e-09	1.54e-10	1.233e-08
1:160247124-160247224	8.429e-12	6.738e-13	3.368e-11	5.266e-08	9.322e-06	8.554e-14	4.927e-13	3.851e-18
1:34825799-34825899	1.115e-06	1.686e-10	1.194e-08	1.552e-13	2.949e-13	2.788e-11	2.168e-08	6.294e-12
2:241315623-241315723	2.245e-10	2.504e-11	2.384e-09	1.638e-10	9.846e-12	2.668e-13	1.653e-14	1.884e-19
2:47906813-47906913	6.862e-10	1.499e-10	2.473e-07	1.587e-07	2.594e-07	6.486e-07	4.362e-11	4.891e-06
8:2182886-2182986	2.302e-09	1.321e-09	2.1e-08	0.006913	2.494e-15	3.679e-14	1.552e-12	1.281e-17
12:51921546-51921646	8.594e-09	6.899e-11	6.062e-10	5.741e-10	2.621e-11	2.094e-12	4.962e-12	3.416e-15
22:20889154-20889254	1.39e-05	4.072e-08	2.714e-09	6.224e-10	1.927e-12	3.389e-11	1.396e-12	8.439e-16
5:43313750-43313850	7.805e-09	1.071e-11	1.63e-10	3.776e-09	4.01e-13	3.458e-11	4.878e-13	2.897e-13
18:22286745-22286845	1.565e-10	2.381e-12	3.693e-08	3.935e-07	3.915e-07	1.965e-12	2.147e-13	1.058e-17
5:81361767-81361867	1.284e-13	4.381e-12	8.39e-11	1.862e-07	1.392e-09	1.264e-06	8.528e-08	6.67e-07
3:149377901-149378001	1.862e-07	3.097e-09	1.139e-05	4.893e-10	6.914e-13	5.395e-12	4.413e-08	6.42e-16
1:233599279-233599379	3.6e-09	1.05e-10	9.678e-07	8.773e-10	5.427e-11	1.088e-10	3.121e-06	7.702e-14
8:22604576-22604676	1.888e-09	2.706e-10	5.718e-09	8.8e-13	1.4e-11	2.076e-12	1.062e-13	1.211e-17
3:52844481-52844581	3.559e-08	1.698e-11	1.441e-08	3.453e-08	4.901e-11	7.359e-14	1.419e-11	1.285e-16
20:18138979-18139079	8.164e-11	1.454e-11	1.598e-09	1.81e-10	1.294e-10	1.684e-07	3.436e-09	9.285e-12
6:109308196-109308296	3.367e-06	1.532e-07	1.167e-07	1.264e-11	4.325e-13	0.00223	3.048e-07	0.00131
15:74779965-74780065	1.38e-10	6.966e-12	2.916e-13	1.752e-11	4.176e-14	1.43e-10	1.714e-10	1.589e-16
2:31282749-31282849	4.547e-13	5.227e-14	5.288e-11	9.357e-09	9.181e-19	1.704e-15	2.559e-15	2.255e-23
4:2909712-2909812	1.201e-10	1.759e-11	1.923e-06	3.623e-09	2.165e-13	5.752e-09	9.081e-10	2.586e-10
15:56245077-56245177	9.563e-10	5.937e-12	1.295e-10	2.745e-11	1.541e-10	6.24e-13	2.602e-11	1.323e-12
10:69475144-69475244	6.377e-08	3.428e-10	1.246e-06	2.283e-12	9.996e-11	0.003883	7.103e-09	0.005285
3:155292231-155292331	7.178e-05	3.248e-09	2.928e-09	1.062e-05	2.284e-07	9.746e-10	3.971e-10	1.049e-12
20:32540016-32540116	4.071e-09	1.382e-10	1.022e-11	4.808e-11	8.814e-09	1.533e-10	4.688e-13	3.623e-17
10:79023613-79023713	5.187e-07	6.598e-09	6.388e-06	6.332e-09	5.786e-12	4.29e-13	2.404e-12	8.306e-16
13:99606317-99606417	1.01e-10	4.722e-10	5.111e-10	1.185e-08	1.199e-11	2.111e-12	1.595e-13	3.04e-17
3:150412620-150412720	0.00401	5.634e-06	4.034e-07	5.667e-06	8.009e-10	1.428e-10	1.357e-10	7.134e-13
18:3446852-3446952	5.591e-08	1.329e-10	2.294e-06	1.259e-08	9.156e-12	0.005229	4.767e-07	0.001978
2:88691556-88691656	1.375e-10	8.1e-10	5.78e-10	1.434e-10	3.104e-09	4.434e-09	4.194e-11	5.991e-13
5:34058682-34058782	1.448e-08	5.222e-09	3.31e-09	9.788e-06	4.469e-12	1.416e-05	8.943e-09	4.578e-11
7:64307357-64307457	3.543e-08	1.277e-09	9.015e-09	1.069e-08	4.428e-11	3.693e-14	6.106e-12	4.496e-21
1:61319901-61320001	2.053e-05	1.326e-07	6.081e-07	7.433e-08	2.796e-11	8.264e-12	1.27e-11	7.226e-17
12:27277866-27277966	5.124e-08	2.925e-10	3.393e-09	1.738e-09	2.445e-07	1.827e-13	7.569e-12	1.771e-19
X:136159862-136159962	5.837e-10	9.47e-13	2.723e-08	6.03e-09	5.473e-13	4.648e-07	1.016e-11	1.283e-16
9:92115506-92115606	1.133e-06	3.417e-08	2.84e-08	2.748e-10	3.378e-12	7.49e-11	8.615e-13	1.101e-16
12:110224502-110224602	2.788e-09	1.13e-09	2.204e-06	2.026e-06	6.11e-05	1.985e-06	8.388e-09	5.896e-09
1:26693069-26693169	3.015e-09	2.903e-10	1.204e-09	8.166e-10	7.874e-14	2.991e-14	8.158e-12	7.801e-21
7:74062280-74062380	8.48e-05	1.337e-07	0.0003962	1.276e-07	2.298e-10	7.417e-05	8.962e-08	3.904e-10
6:56571736-56571836	2.292e-08	1.05e-07	6.013e-10	6.836e-07	2.48e-14	1.129e-13	3.082e-12	1.554e-19
12:93570864-93570964	0.0002486	0.004588	1.959e-08	5.64e-14	2.443e-11	2.44e-14	1.664e-12	1.553e-17
11:128496946-128497046	1.583e-09	1.52e-09	1.078e-06	5.419e-07	1.282e-10	0.00328	2.006e-08	0.0003731
6:87731882-87731982	5.785e-11	2.759e-12	1.831e-08	2.317e-10	4.538e-14	1.755e-14	2.066e-11	1.453e-18
2:237725848-237725948	5.67e-10	1.01e-11	9.591e-06	5.392e-06	1.128e-09	9.853e-11	4.064e-12	1.207e-13
1:167387512-167387612	8.464e-10	8.838e-11	4.188e-08	5.201e-10	8.797e-06	6.91e-06	9.761e-10	1.865e-09
5:151164852-151164952	4.361e-09	3.47e-10	1.865e-10	1.532e-09	2.984e-10	1.283e-15	2.342e-10	1.072e-19
12:111705816-111705916	1.33e-11	7.657e-12	1.29e-10	1.266e-05	6.838e-13	1.215e-11	2.645e-13	1.503e-15
2:190359947-190360047	7.688e-09	9.135e-10	5.497e-09	3.528e-09	2.584e-10	5.395e-11	1.253e-10	5.971e-16
13:101784457-101784557	1.647e-08	1.94e-12	1.605e-10	7.846e-05	7.406e-13	2.019e-12	1.078e-11	1.853e-17
11:75499408-75499508	1.647e-08	1.94e-12	1.188e-19	7.846e-05	7.406e-13	2.019e-12	1.078e-11	1.853e-17
8:53658028-53658128	5.067e-08	3.104e-06	7.137e-10	8.414e-10	7.031e-10	2.012e-07	8.854e-14	1.946e-11
7:46544517-46544617	8.157e-09	2.134e-10	2.399e-05	3.629e-11	1.444e-06	0.006885	1.23e-07	0.006794
4:8472996-8473096	3.9e-09	4.312e-09	1.586e-07	1.62e-09	2.238e-12	7.211e-14	1.432e-12	2.224e-14
4:128292539-128292639	1.209e-11	5.991e-13	6.494e-08	8.448e-12	7.138e-14	1.737e-10	6.579e-08	2.041e-12
16:4012385-4012485	6.204e-06	7.512e-10	4.332e-09	2.364e-09	8.015e-12	1.187e-09	9.776e-10	4.181e-11
5:156411265-156411365	1.62e-08	1.457e-09	1.078e-06	9.182e-09	2.912e-10	0.003883	2.172e-08	0.005285
7:101289891-101289991	6.696e-09	6.419e-09	1.55e-10	9.662e-11	2.623e-07	2.425e-10	3.26e-09	1.946e-11
21:43288353-43288453	6.513e-06	5.322e-07	9.278e-09	5.081e-08	2.505e-08	2.531e-13	5.268e-13	3.357e-19
21:33325453-33325553	1.375e-07	1.297e-09	4.727e-11	1.067e-09	1.057e-10	2.732e-13	1.001e-10	3.87e-17
20:34270414-34270514	1.968e-06	2.355e-09	9.6e-06	6.017e-08	4.526e-05	1.256e-10	1.729e-07	1.429e-12
3:47802384-47802484	1.693e-07	5.732e-07	1.068e-07	2.691e-11	5.415e-10	9.844e-11	3.946e-10	3.596e-13
9:73038431-73038531	6.722e-10	2.549e-10	1.952e-09	5.085e-10	2.767e-13	5.749e-15	7.048e-13	3.471e-17
12:121800072-121800172	4.742e-10	1.436e-08	8.451e-11	2.618e-08	4.245e-08	2.007e-05	5.493e-07	6.662e-05
6:135054830-135054930	8.884e-08	5.975e-09	1.093e-08	8.67e-12	3.017e-13	6.697e-06	6.796e-11	6.893e-11
8:13372577-13372677	1.501e-09	6.585e-12	1.448e-07	2.375e-08	2.364e-09	1.66e-08	2.511e-11	4.594e-11
22:30277777-30277877	7.462e-11	9.718e-10	2.061e-08	1.035e-11	1.072e-13	0.001333	6.934e-09	9.819e-05
17:61336154-61336254	4.769e-10	6.332e-10	4.631e-11	5.728e-12	2.367e-07	3.831e-15	2.155e-11	1.132e-17
